[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
75b0d3f29b1b   spark-worker-5   0.15%     157.2MiB / 1GiB     15.35%    3.09kB / 4.41kB   0B / 32.8kB       31
212495591b58   spark-master     0.12%     156.7MiB / 1GiB     15.30%    27kB / 13.5kB     69.6kB / 32.8kB   30
1ceec149a78c   spark-driver     101.98%   267.2MiB / 1GiB     26.10%    1.13kB / 0B       0B / 36.9kB       46
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
ead9d0dc4b5f   spark-worker-3   0.14%     156.7MiB / 1GiB     15.30%    3.09kB / 4.41kB   12.3kB / 32.8kB   32
8ee8b1918745   spark-worker-6   0.10%     156.9MiB / 1GiB     15.32%    3.09kB / 4.41kB   0B / 32.8kB       32
f279d8f9bfc6   spark-worker-4   0.12%     158.4MiB / 1GiB     15.46%    3.05kB / 4.37kB   12.3kB / 32.8kB   32
5412fb2fa9ee   spark-worker-1   0.09%     157.6MiB / 1GiB     15.39%    3.09kB / 4.41kB   12.3kB / 32.8kB   31
c59af1fb5af2   spark-worker-2   0.12%     158MiB / 1GiB       15.43%    3.09kB / 4.41kB   0B / 32.8kB       31
75b0d3f29b1b   spark-worker-5   0.15%     157.2MiB / 1GiB     15.35%    3.09kB / 4.41kB   0B / 32.8kB       31
212495591b58   spark-master     0.12%     156.7MiB / 1GiB     15.30%    27kB / 13.5kB     69.6kB / 32.8kB   30
1ceec149a78c   spark-driver     101.98%   267.2MiB / 1GiB     26.10%    1.13kB / 0B       0B / 36.9kB       46
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
ead9d0dc4b5f   spark-worker-3   46.30%    204.8MiB / 1GiB     20.00%    6.2kB / 6.4kB     12.3kB / 32.8kB   48
8ee8b1918745   spark-worker-6   57.02%    213.2MiB / 1GiB     20.82%    6.2kB / 6.4kB     0B / 32.8kB       48
f279d8f9bfc6   spark-worker-4   47.61%    205.4MiB / 1GiB     20.06%    6.16kB / 6.36kB   65.5kB / 32.8kB   48
5412fb2fa9ee   spark-worker-1   48.20%    206.6MiB / 1GiB     20.18%    6.2kB / 6.4kB     12.3kB / 32.8kB   47
c59af1fb5af2   spark-worker-2   49.45%    212.2MiB / 1GiB     20.72%    6.2kB / 6.4kB     20.5kB / 32.8kB   47
75b0d3f29b1b   spark-worker-5   49.60%    211.4MiB / 1GiB     20.65%    6.2kB / 6.4kB     0B / 32.8kB       47
212495591b58   spark-master     19.51%    162.7MiB / 1GiB     15.89%    44.6kB / 46.5kB   69.6kB / 32.8kB   30
1ceec149a78c   spark-driver     77.47%    308.7MiB / 1GiB     30.15%    16.1kB / 5.84kB   0B / 36.9kB       63
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
ead9d0dc4b5f   spark-worker-3   46.30%    204.8MiB / 1GiB     20.00%    6.2kB / 6.4kB     12.3kB / 32.8kB   48
8ee8b1918745   spark-worker-6   57.02%    213.2MiB / 1GiB     20.82%    6.2kB / 6.4kB     0B / 32.8kB       48
f279d8f9bfc6   spark-worker-4   47.61%    205.4MiB / 1GiB     20.06%    6.16kB / 6.36kB   65.5kB / 32.8kB   48
5412fb2fa9ee   spark-worker-1   48.20%    206.6MiB / 1GiB     20.18%    6.2kB / 6.4kB     12.3kB / 32.8kB   47
c59af1fb5af2   spark-worker-2   49.45%    212.2MiB / 1GiB     20.72%    6.2kB / 6.4kB     20.5kB / 32.8kB   47
75b0d3f29b1b   spark-worker-5   49.60%    211.4MiB / 1GiB     20.65%    6.2kB / 6.4kB     0B / 32.8kB       47
212495591b58   spark-master     19.51%    162.7MiB / 1GiB     15.89%    44.6kB / 46.5kB   69.6kB / 32.8kB   30
1ceec149a78c   spark-driver     77.47%    308.7MiB / 1GiB     30.15%    16.1kB / 5.84kB   0B / 36.9kB       63
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
ead9d0dc4b5f   spark-worker-3   95.12%    255.6MiB / 1GiB     24.96%    6.2kB / 6.4kB     12.3kB / 32.8kB   48
8ee8b1918745   spark-worker-6   78.40%    255.5MiB / 1GiB     24.95%    6.2kB / 6.4kB     0B / 32.8kB       48
f279d8f9bfc6   spark-worker-4   87.23%    255.6MiB / 1GiB     24.96%    6.16kB / 6.36kB   65.5kB / 32.8kB   48
5412fb2fa9ee   spark-worker-1   76.46%    253.9MiB / 1GiB     24.80%    6.2kB / 6.4kB     12.3kB / 32.8kB   47
c59af1fb5af2   spark-worker-2   80.69%    255.2MiB / 1GiB     24.92%    6.2kB / 6.4kB     20.5kB / 32.8kB   47
75b0d3f29b1b   spark-worker-5   78.16%    253MiB / 1GiB       24.70%    6.2kB / 6.4kB     0B / 32.8kB       47
212495591b58   spark-master     0.06%     162.7MiB / 1GiB     15.89%    44.7kB / 46.5kB   69.6kB / 32.8kB   30
1ceec149a78c   spark-driver     0.32%     308.7MiB / 1GiB     30.15%    16.1kB / 5.84kB   0B / 36.9kB       63
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
ead9d0dc4b5f   spark-worker-3   95.12%    255.6MiB / 1GiB     24.96%    6.2kB / 6.4kB     12.3kB / 32.8kB   48
8ee8b1918745   spark-worker-6   78.40%    255.5MiB / 1GiB     24.95%    6.2kB / 6.4kB     0B / 32.8kB       48
f279d8f9bfc6   spark-worker-4   87.23%    255.6MiB / 1GiB     24.96%    6.16kB / 6.36kB   65.5kB / 32.8kB   48
5412fb2fa9ee   spark-worker-1   76.46%    253.9MiB / 1GiB     24.80%    6.2kB / 6.4kB     12.3kB / 32.8kB   47
c59af1fb5af2   spark-worker-2   80.69%    255.2MiB / 1GiB     24.92%    6.2kB / 6.4kB     20.5kB / 32.8kB   47
75b0d3f29b1b   spark-worker-5   78.16%    253MiB / 1GiB       24.70%    6.2kB / 6.4kB     0B / 32.8kB       47
212495591b58   spark-master     0.06%     162.7MiB / 1GiB     15.89%    44.7kB / 46.5kB   69.6kB / 32.8kB   30
1ceec149a78c   spark-driver     0.32%     308.7MiB / 1GiB     30.15%    16.1kB / 5.84kB   0B / 36.9kB       63
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
ead9d0dc4b5f   spark-worker-3   81.02%    276.6MiB / 1GiB     27.01%    6.2kB / 6.4kB     12.3kB / 32.8kB   49
8ee8b1918745   spark-worker-6   76.45%    274.8MiB / 1GiB     26.84%    6.2kB / 6.4kB     0B / 32.8kB       49
f279d8f9bfc6   spark-worker-4   79.24%    276.7MiB / 1GiB     27.02%    6.16kB / 6.36kB   65.5kB / 32.8kB   49
5412fb2fa9ee   spark-worker-1   87.72%    276.8MiB / 1GiB     27.03%    6.2kB / 6.4kB     12.3kB / 32.8kB   48
c59af1fb5af2   spark-worker-2   77.92%    276.2MiB / 1GiB     26.97%    6.27kB / 6.4kB    20.5kB / 32.8kB   48
75b0d3f29b1b   spark-worker-5   93.28%    277.9MiB / 1GiB     27.13%    6.2kB / 6.4kB     0B / 32.8kB       48
212495591b58   spark-master     0.07%     162.7MiB / 1GiB     15.89%    44.7kB / 46.5kB   69.6kB / 32.8kB   30
1ceec149a78c   spark-driver     0.27%     308.7MiB / 1GiB     30.15%    16.1kB / 5.84kB   0B / 36.9kB       63
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
ead9d0dc4b5f   spark-worker-3   81.02%    276.6MiB / 1GiB     27.01%    6.2kB / 6.4kB     12.3kB / 32.8kB   49
8ee8b1918745   spark-worker-6   76.45%    274.8MiB / 1GiB     26.84%    6.2kB / 6.4kB     0B / 32.8kB       49
f279d8f9bfc6   spark-worker-4   79.24%    276.7MiB / 1GiB     27.02%    6.16kB / 6.36kB   65.5kB / 32.8kB   49
5412fb2fa9ee   spark-worker-1   87.72%    276.8MiB / 1GiB     27.03%    6.2kB / 6.4kB     12.3kB / 32.8kB   48
c59af1fb5af2   spark-worker-2   77.92%    276.2MiB / 1GiB     26.97%    6.27kB / 6.4kB    20.5kB / 32.8kB   48
75b0d3f29b1b   spark-worker-5   93.28%    277.9MiB / 1GiB     27.13%    6.2kB / 6.4kB     0B / 32.8kB       48
212495591b58   spark-master     0.07%     162.7MiB / 1GiB     15.89%    44.7kB / 46.5kB   69.6kB / 32.8kB   30
