[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
e3326c6891b2   spark-worker-3   0.00%     157.8MiB / 1GiB     15.41%    3.16kB / 4.41kB   0B / 65.5kB       32
adb9743c6bda   spark-worker-4   0.00%     157.2MiB / 1GiB     15.35%    3.12kB / 4.37kB   0B / 65.5kB       31
6045e765a55b   spark-worker-2   0.00%     158.1MiB / 1GiB     15.43%    3.09kB / 4.41kB   0B / 65.5kB       32
a9facd75932d   spark-worker-1   0.00%     157.4MiB / 1GiB     15.37%    3.16kB / 4.41kB   8.19kB / 65.5kB   31
ac1e21aedcb8   spark-worker-6   0.00%     156.6MiB / 1GiB     15.30%    3.16kB / 4.41kB   0B / 65.5kB       31
19c2b079d79a   spark-worker-5   0.00%     155.1MiB / 1GiB     15.14%    3.09kB / 4.41kB   0B / 65.5kB       31
971ac21a188a   spark-master     0.00%     155.6MiB / 1GiB     15.20%    27.2kB / 13.5kB   1.41MB / 65.5kB   29
1ceec149a78c   spark-driver     101.64%   205.2MiB / 1GiB     20.04%    586B / 0B         0B / 32.8kB       15
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
e3326c6891b2   spark-worker-3   0.00%     157.8MiB / 1GiB     15.41%    3.16kB / 4.41kB   0B / 65.5kB       32
adb9743c6bda   spark-worker-4   0.00%     157.2MiB / 1GiB     15.35%    3.12kB / 4.37kB   0B / 65.5kB       31
6045e765a55b   spark-worker-2   0.00%     158.1MiB / 1GiB     15.43%    3.09kB / 4.41kB   0B / 65.5kB       32
a9facd75932d   spark-worker-1   0.00%     157.4MiB / 1GiB     15.37%    3.16kB / 4.41kB   8.19kB / 65.5kB   31
ac1e21aedcb8   spark-worker-6   0.00%     156.6MiB / 1GiB     15.30%    3.16kB / 4.41kB   0B / 65.5kB       31
19c2b079d79a   spark-worker-5   0.00%     155.1MiB / 1GiB     15.14%    3.09kB / 4.41kB   0B / 65.5kB       31
971ac21a188a   spark-master     0.00%     155.6MiB / 1GiB     15.20%    27.2kB / 13.5kB   1.41MB / 65.5kB   29
1ceec149a78c   spark-driver     101.64%   205.2MiB / 1GiB     20.04%    586B / 0B         0B / 32.8kB       15
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
e3326c6891b2   spark-worker-3   0.11%     157.8MiB / 1GiB     15.41%    3.16kB / 4.41kB   0B / 65.5kB       32
adb9743c6bda   spark-worker-4   0.11%     157.2MiB / 1GiB     15.35%    3.12kB / 4.37kB   0B / 65.5kB       31
6045e765a55b   spark-worker-2   0.13%     158.1MiB / 1GiB     15.43%    3.16kB / 4.41kB   0B / 65.5kB       32
a9facd75932d   spark-worker-1   0.11%     157.4MiB / 1GiB     15.37%    3.16kB / 4.41kB   8.19kB / 65.5kB   31
ac1e21aedcb8   spark-worker-6   0.09%     156.6MiB / 1GiB     15.30%    3.16kB / 4.41kB   0B / 65.5kB       31
19c2b079d79a   spark-worker-5   0.09%     155.1MiB / 1GiB     15.14%    3.16kB / 4.41kB   0B / 65.5kB       31
971ac21a188a   spark-master     0.10%     155.6MiB / 1GiB     15.20%    27.2kB / 13.5kB   1.41MB / 65.5kB   29
1ceec149a78c   spark-driver     93.11%    234.1MiB / 1GiB     22.87%    586B / 0B         0B / 36.9kB       18
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
e3326c6891b2   spark-worker-3   0.11%     157.8MiB / 1GiB     15.41%    3.16kB / 4.41kB   0B / 65.5kB       32
adb9743c6bda   spark-worker-4   0.11%     157.2MiB / 1GiB     15.35%    3.12kB / 4.37kB   0B / 65.5kB       31
6045e765a55b   spark-worker-2   0.13%     158.1MiB / 1GiB     15.43%    3.16kB / 4.41kB   0B / 65.5kB       32
a9facd75932d   spark-worker-1   0.11%     157.4MiB / 1GiB     15.37%    3.16kB / 4.41kB   8.19kB / 65.5kB   31
ac1e21aedcb8   spark-worker-6   0.09%     156.6MiB / 1GiB     15.30%    3.16kB / 4.41kB   0B / 65.5kB       31
19c2b079d79a   spark-worker-5   0.09%     155.1MiB / 1GiB     15.14%    3.16kB / 4.41kB   0B / 65.5kB       31
971ac21a188a   spark-master     0.10%     155.6MiB / 1GiB     15.20%    27.2kB / 13.5kB   1.41MB / 65.5kB   29
1ceec149a78c   spark-driver     93.11%    234.1MiB / 1GiB     22.87%    586B / 0B         0B / 36.9kB       18
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
e3326c6891b2   spark-worker-3   0.12%     157.8MiB / 1GiB     15.41%    3.16kB / 4.41kB   0B / 65.5kB       32
adb9743c6bda   spark-worker-4   0.14%     157.2MiB / 1GiB     15.35%    3.12kB / 4.37kB   0B / 65.5kB       31
6045e765a55b   spark-worker-2   0.13%     158.1MiB / 1GiB     15.43%    3.16kB / 4.41kB   0B / 65.5kB       32
a9facd75932d   spark-worker-1   0.09%     157.4MiB / 1GiB     15.37%    3.16kB / 4.41kB   8.19kB / 65.5kB   31
ac1e21aedcb8   spark-worker-6   0.13%     156.6MiB / 1GiB     15.30%    3.16kB / 4.41kB   0B / 65.5kB       31
19c2b079d79a   spark-worker-5   0.09%     155.1MiB / 1GiB     15.14%    3.16kB / 4.41kB   0B / 65.5kB       31
971ac21a188a   spark-master     0.12%     155.6MiB / 1GiB     15.20%    27.2kB / 13.5kB   1.41MB / 65.5kB   29
1ceec149a78c   spark-driver     105.59%   270.3MiB / 1GiB     26.40%    586B / 0B         262kB / 36.9kB    44
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
e3326c6891b2   spark-worker-3   0.12%     157.8MiB / 1GiB     15.41%    3.16kB / 4.41kB   0B / 65.5kB       32
adb9743c6bda   spark-worker-4   0.14%     157.2MiB / 1GiB     15.35%    3.12kB / 4.37kB   0B / 65.5kB       31
6045e765a55b   spark-worker-2   0.13%     158.1MiB / 1GiB     15.43%    3.16kB / 4.41kB   0B / 65.5kB       32
a9facd75932d   spark-worker-1   0.09%     157.4MiB / 1GiB     15.37%    3.16kB / 4.41kB   8.19kB / 65.5kB   31
ac1e21aedcb8   spark-worker-6   0.13%     156.6MiB / 1GiB     15.30%    3.16kB / 4.41kB   0B / 65.5kB       31
19c2b079d79a   spark-worker-5   0.09%     155.1MiB / 1GiB     15.14%    3.16kB / 4.41kB   0B / 65.5kB       31
971ac21a188a   spark-master     0.12%     155.6MiB / 1GiB     15.20%    27.2kB / 13.5kB   1.41MB / 65.5kB   29
1ceec149a78c   spark-driver     105.59%   270.3MiB / 1GiB     26.40%    586B / 0B         262kB / 36.9kB    44
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
e3326c6891b2   spark-worker-3   50.04%    210.6MiB / 1GiB     20.56%    6.22kB / 6.4kB    0B / 65.5kB       48
adb9743c6bda   spark-worker-4   54.43%    208.6MiB / 1GiB     20.37%    6.18kB / 6.36kB   0B / 65.5kB       47
6045e765a55b   spark-worker-2   59.73%    217MiB / 1GiB       21.19%    6.22kB / 6.4kB    90.1kB / 65.5kB   48
a9facd75932d   spark-worker-1   43.10%    197.7MiB / 1GiB     19.31%    6.22kB / 6.4kB    8.19kB / 65.5kB   47
ac1e21aedcb8   spark-worker-6   48.18%    205.7MiB / 1GiB     20.09%    6.22kB / 6.4kB    0B / 65.5kB       47
19c2b079d79a   spark-worker-5   41.64%    193.9MiB / 1GiB     18.94%    6.22kB / 6.4kB    0B / 65.5kB       47
971ac21a188a   spark-master     14.38%    159.9MiB / 1GiB     15.61%    44.8kB / 46.5kB   1.42MB / 65.5kB   29
1ceec149a78c   spark-driver     78.24%    310.6MiB / 1GiB     30.33%    15.5kB / 5.64kB   569kB / 36.9kB    63
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
e3326c6891b2   spark-worker-3   50.04%    210.6MiB / 1GiB     20.56%    6.22kB / 6.4kB    0B / 65.5kB       48
adb9743c6bda   spark-worker-4   54.43%    208.6MiB / 1GiB     20.37%    6.18kB / 6.36kB   0B / 65.5kB       47
6045e765a55b   spark-worker-2   59.73%    217MiB / 1GiB       21.19%    6.22kB / 6.4kB    90.1kB / 65.5kB   48
a9facd75932d   spark-worker-1   43.10%    197.7MiB / 1GiB     19.31%    6.22kB / 6.4kB    8.19kB / 65.5kB   47
ac1e21aedcb8   spark-worker-6   48.18%    205.7MiB / 1GiB     20.09%    6.22kB / 6.4kB    0B / 65.5kB       47
19c2b079d79a   spark-worker-5   41.64%    193.9MiB / 1GiB     18.94%    6.22kB / 6.4kB    0B / 65.5kB       47
971ac21a188a   spark-master     14.38%    159.9MiB / 1GiB     15.61%    44.8kB / 46.5kB   1.42MB / 65.5kB   29
1ceec149a78c   spark-driver     78.24%    310.6MiB / 1GiB     30.33%    15.5kB / 5.64kB   569kB / 36.9kB    63
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
e3326c6891b2   spark-worker-3   83.16%    255.7MiB / 1GiB     24.97%    6.27kB / 6.4kB    0B / 65.5kB       48
adb9743c6bda   spark-worker-4   81.90%    254MiB / 1GiB       24.81%    6.22kB / 6.36kB   0B / 65.5kB       47
6045e765a55b   spark-worker-2   71.83%    255MiB / 1GiB       24.90%    6.27kB / 6.4kB    90.1kB / 65.5kB   48
a9facd75932d   spark-worker-1   87.17%    252.4MiB / 1GiB     24.64%    6.27kB / 6.4kB    8.19kB / 65.5kB   47
ac1e21aedcb8   spark-worker-6   85.67%    255MiB / 1GiB       24.90%    6.27kB / 6.4kB    0B / 65.5kB       47
19c2b079d79a   spark-worker-5   84.49%    251.9MiB / 1GiB     24.60%    6.27kB / 6.4kB    0B / 65.5kB       47
971ac21a188a   spark-master     0.06%     159.9MiB / 1GiB     15.61%    44.8kB / 46.5kB   1.42MB / 65.5kB   29
