[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
378d69cb511c   spark-worker-5   0.11%     157.6MiB / 1GiB     15.39%    148MB / 209MB     15.2MB / 123MB    32
ec695456be79   spark-worker-2   0.10%     166MiB / 1GiB       16.21%    177MB / 197MB     8.57MB / 102MB    33
1346b17b1e4e   spark-worker-1   0.10%     173.8MiB / 1GiB     16.98%    155MB / 177MB     9.42MB / 58.1MB   32
d8db7b440552   spark-worker-3   0.10%     183.2MiB / 1GiB     17.89%    144MB / 171MB     5.88MB / 50.6MB   33
e0e8a2ab5137   spark-worker-4   0.07%     130.1MiB / 1GiB     12.70%    198MB / 172MB     32.8MB / 159MB    32
18ceaa31f572   spark-worker-6   0.12%     47.97MiB / 1GiB     4.68%     287MB / 174MB     37.7MB / 267MB    33
4932893b9d40   spark-master     0.01%     174.3MiB / 1GiB     17.02%    1.23MB / 254kB    549kB / 1.2MB     28
1ceec149a78c   spark-driver     0.02%     215MiB / 1GiB       21.00%    17.8MB / 5.95MB   11.9MB / 1.97MB   17
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
378d69cb511c   spark-worker-5   0.11%     157.6MiB / 1GiB     15.39%    148MB / 209MB     15.2MB / 123MB    32
ec695456be79   spark-worker-2   0.10%     166MiB / 1GiB       16.21%    177MB / 197MB     8.57MB / 102MB    33
1346b17b1e4e   spark-worker-1   0.10%     173.8MiB / 1GiB     16.98%    155MB / 177MB     9.42MB / 58.1MB   32
d8db7b440552   spark-worker-3   0.10%     183.2MiB / 1GiB     17.89%    144MB / 171MB     5.88MB / 50.6MB   33
e0e8a2ab5137   spark-worker-4   0.07%     130.1MiB / 1GiB     12.70%    198MB / 172MB     32.8MB / 159MB    32
18ceaa31f572   spark-worker-6   0.12%     47.97MiB / 1GiB     4.68%     287MB / 174MB     37.7MB / 267MB    33
4932893b9d40   spark-master     0.01%     174.3MiB / 1GiB     17.02%    1.23MB / 254kB    549kB / 1.2MB     28
1ceec149a78c   spark-driver     0.02%     215MiB / 1GiB       21.00%    17.8MB / 5.95MB   11.9MB / 1.97MB   17
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
378d69cb511c   spark-worker-5   0.12%     157.6MiB / 1GiB     15.39%    148MB / 209MB     15.2MB / 123MB    32
ec695456be79   spark-worker-2   0.13%     166MiB / 1GiB       16.21%    177MB / 197MB     8.57MB / 102MB    33
1346b17b1e4e   spark-worker-1   0.13%     173.8MiB / 1GiB     16.98%    155MB / 177MB     9.42MB / 58.1MB   32
d8db7b440552   spark-worker-3   0.12%     183.2MiB / 1GiB     17.89%    144MB / 171MB     5.88MB / 50.6MB   33
e0e8a2ab5137   spark-worker-4   0.09%     130.1MiB / 1GiB     12.70%    198MB / 172MB     32.8MB / 159MB    32
18ceaa31f572   spark-worker-6   0.07%     47.97MiB / 1GiB     4.68%     287MB / 174MB     37.7MB / 267MB    33
4932893b9d40   spark-master     0.14%     174.3MiB / 1GiB     17.02%    1.23MB / 254kB    549kB / 1.2MB     28
1ceec149a78c   spark-driver     98.87%    246.9MiB / 1GiB     24.11%    17.8MB / 5.95MB   11.9MB / 1.97MB   21
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
378d69cb511c   spark-worker-5   0.12%     157.6MiB / 1GiB     15.39%    148MB / 209MB     15.2MB / 123MB    32
ec695456be79   spark-worker-2   0.13%     166MiB / 1GiB       16.21%    177MB / 197MB     8.57MB / 102MB    33
1346b17b1e4e   spark-worker-1   0.13%     173.8MiB / 1GiB     16.98%    155MB / 177MB     9.42MB / 58.1MB   32
d8db7b440552   spark-worker-3   0.12%     183.2MiB / 1GiB     17.89%    144MB / 171MB     5.88MB / 50.6MB   33
e0e8a2ab5137   spark-worker-4   0.09%     130.1MiB / 1GiB     12.70%    198MB / 172MB     32.8MB / 159MB    32
18ceaa31f572   spark-worker-6   0.07%     47.97MiB / 1GiB     4.68%     287MB / 174MB     37.7MB / 267MB    33
4932893b9d40   spark-master     0.14%     174.3MiB / 1GiB     17.02%    1.23MB / 254kB    549kB / 1.2MB     28
1ceec149a78c   spark-driver     98.87%    246.9MiB / 1GiB     24.11%    17.8MB / 5.95MB   11.9MB / 1.97MB   21
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
378d69cb511c   spark-worker-5   0.11%     157.6MiB / 1GiB     15.39%    148MB / 209MB     15.2MB / 123MB    32
ec695456be79   spark-worker-2   0.14%     166MiB / 1GiB       16.21%    177MB / 197MB     8.57MB / 102MB    33
1346b17b1e4e   spark-worker-1   0.10%     173.8MiB / 1GiB     16.98%    155MB / 177MB     9.42MB / 58.1MB   32
d8db7b440552   spark-worker-3   0.11%     183.2MiB / 1GiB     17.89%    144MB / 171MB     5.88MB / 50.6MB   33
e0e8a2ab5137   spark-worker-4   0.12%     130.1MiB / 1GiB     12.70%    198MB / 172MB     32.8MB / 159MB    32
18ceaa31f572   spark-worker-6   0.09%     47.97MiB / 1GiB     4.68%     287MB / 174MB     37.7MB / 267MB    33
4932893b9d40   spark-master     0.11%     174.3MiB / 1GiB     17.02%    1.23MB / 254kB    549kB / 1.2MB     28
1ceec149a78c   spark-driver     102.41%   277.4MiB / 1GiB     27.09%    17.8MB / 5.95MB   11.9MB / 1.97MB   49
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
378d69cb511c   spark-worker-5   0.11%     157.6MiB / 1GiB     15.39%    148MB / 209MB     15.2MB / 123MB    32
ec695456be79   spark-worker-2   0.14%     166MiB / 1GiB       16.21%    177MB / 197MB     8.57MB / 102MB    33
1346b17b1e4e   spark-worker-1   0.10%     173.8MiB / 1GiB     16.98%    155MB / 177MB     9.42MB / 58.1MB   32
d8db7b440552   spark-worker-3   0.11%     183.2MiB / 1GiB     17.89%    144MB / 171MB     5.88MB / 50.6MB   33
e0e8a2ab5137   spark-worker-4   0.12%     130.1MiB / 1GiB     12.70%    198MB / 172MB     32.8MB / 159MB    32
18ceaa31f572   spark-worker-6   0.09%     47.97MiB / 1GiB     4.68%     287MB / 174MB     37.7MB / 267MB    33
4932893b9d40   spark-master     0.11%     174.3MiB / 1GiB     17.02%    1.23MB / 254kB    549kB / 1.2MB     28
1ceec149a78c   spark-driver     102.41%   277.4MiB / 1GiB     27.09%    17.8MB / 5.95MB   11.9MB / 1.97MB   49
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
378d69cb511c   spark-worker-5   42.42%    206.6MiB / 1GiB     20.18%    148MB / 209MB     17.4MB / 123MB    47
ec695456be79   spark-worker-2   69.15%    239.9MiB / 1GiB     23.43%    177MB / 197MB     9.18MB / 102MB    48
1346b17b1e4e   spark-worker-1   54.88%    242.4MiB / 1GiB     23.67%    155MB / 177MB     9.43MB / 58.1MB   47
d8db7b440552   spark-worker-3   58.67%    253MiB / 1GiB       24.70%    144MB / 171MB     5.88MB / 50.6MB   48
e0e8a2ab5137   spark-worker-4   58.83%    203MiB / 1GiB       19.82%    198MB / 172MB     34.9MB / 159MB    47
18ceaa31f572   spark-worker-6   47.79%    101.7MiB / 1GiB     9.93%     287MB / 174MB     40.4MB / 267MB    48
4932893b9d40   spark-master     2.97%     174.3MiB / 1GiB     17.03%    1.25MB / 287kB    549kB / 1.2MB     28
1ceec149a78c   spark-driver     72.94%    314.4MiB / 1GiB     30.71%    17.8MB / 5.96MB   11.9MB / 1.97MB   64
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
378d69cb511c   spark-worker-5   42.42%    206.6MiB / 1GiB     20.18%    148MB / 209MB     17.4MB / 123MB    47
ec695456be79   spark-worker-2   69.15%    239.9MiB / 1GiB     23.43%    177MB / 197MB     9.18MB / 102MB    48
1346b17b1e4e   spark-worker-1   54.88%    242.4MiB / 1GiB     23.67%    155MB / 177MB     9.43MB / 58.1MB   47
d8db7b440552   spark-worker-3   58.67%    253MiB / 1GiB       24.70%    144MB / 171MB     5.88MB / 50.6MB   48
e0e8a2ab5137   spark-worker-4   58.83%    203MiB / 1GiB       19.82%    198MB / 172MB     34.9MB / 159MB    47
18ceaa31f572   spark-worker-6   47.79%    101.7MiB / 1GiB     9.93%     287MB / 174MB     40.4MB / 267MB    48
4932893b9d40   spark-master     2.97%     174.3MiB / 1GiB     17.03%    1.25MB / 287kB    549kB / 1.2MB     28
1ceec149a78c   spark-driver     72.94%    314.4MiB / 1GiB     30.71%    17.8MB / 5.96MB   11.9MB / 1.97MB   64
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
378d69cb511c   spark-worker-5   80.68%    251.4MiB / 1GiB     24.55%    148MB / 209MB     17.4MB / 123MB    47
ec695456be79   spark-worker-2   82.92%    261.6MiB / 1GiB     25.55%    177MB / 197MB     9.18MB / 102MB    48
1346b17b1e4e   spark-worker-1   76.11%    264.6MiB / 1GiB     25.84%    155MB / 177MB     9.43MB / 58.1MB   47
d8db7b440552   spark-worker-3   79.44%    275.4MiB / 1GiB     26.89%    144MB / 171MB     5.88MB / 50.6MB   48
e0e8a2ab5137   spark-worker-4   79.10%    226.2MiB / 1GiB     22.09%    198MB / 172MB     34.9MB / 159MB    47
18ceaa31f572   spark-worker-6   87.49%    143.4MiB / 1GiB     14.00%    287MB / 174MB     40.4MB / 267MB    48
4932893b9d40   spark-master     0.48%     174.4MiB / 1GiB     17.03%    1.26MB / 288kB    549kB / 1.2MB     28
1ceec149a78c   spark-driver     8.82%     318.7MiB / 1GiB     31.13%    17.8MB / 5.96MB   11.9MB / 1.97MB   65
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
378d69cb511c   spark-worker-5   80.68%    251.4MiB / 1GiB     24.55%    148MB / 209MB     17.4MB / 123MB    47
ec695456be79   spark-worker-2   82.92%    261.6MiB / 1GiB     25.55%    177MB / 197MB     9.18MB / 102MB    48
1346b17b1e4e   spark-worker-1   76.11%    264.6MiB / 1GiB     25.84%    155MB / 177MB     9.43MB / 58.1MB   47
d8db7b440552   spark-worker-3   79.44%    275.4MiB / 1GiB     26.89%    144MB / 171MB     5.88MB / 50.6MB   48
e0e8a2ab5137   spark-worker-4   79.10%    226.2MiB / 1GiB     22.09%    198MB / 172MB     34.9MB / 159MB    47
18ceaa31f572   spark-worker-6   87.49%    143.4MiB / 1GiB     14.00%    287MB / 174MB     40.4MB / 267MB    48
4932893b9d40   spark-master     0.48%     174.4MiB / 1GiB     17.03%    1.26MB / 288kB    549kB / 1.2MB     28
1ceec149a78c   spark-driver     8.82%     318.7MiB / 1GiB     31.13%    17.8MB / 5.96MB   11.9MB / 1.97MB   65
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
378d69cb511c   spark-worker-5   77.89%    272MiB / 1GiB       26.56%    148MB / 209MB     17.4MB / 123MB    48
ec695456be79   spark-worker-2   81.85%    287.1MiB / 1GiB     28.03%    177MB / 197MB     9.18MB / 102MB    51
1346b17b1e4e   spark-worker-1   78.53%    285.1MiB / 1GiB     27.85%    155MB / 177MB     9.43MB / 58.1MB   48
d8db7b440552   spark-worker-3   89.60%    299MiB / 1GiB       29.20%    144MB / 171MB     5.88MB / 50.6MB   49
e0e8a2ab5137   spark-worker-4   82.07%    248.5MiB / 1GiB     24.27%    198MB / 172MB     34.9MB / 159MB    48
18ceaa31f572   spark-worker-6   83.35%    169.2MiB / 1GiB     16.52%    287MB / 174MB     40.4MB / 267MB    51
4932893b9d40   spark-master     0.08%     174.4MiB / 1GiB     17.03%    1.26MB / 288kB    549kB / 1.2MB     28
1ceec149a78c   spark-driver     0.33%     318.7MiB / 1GiB     31.13%    17.8MB / 5.96MB   11.9MB / 1.97MB   65
