[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
a5264a101823   spark-master     0.10%     172.9MiB / 1GiB     16.89%    450kB / 85.3kB    1.76MB / 647kB    28
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
1ceec149a78c   spark-driver     97.91%    280MiB / 1GiB       27.34%    1.65MB / 4.26MB   53.3MB / 1.69MB   35
00e68c3d4611   spark-worker-6   0.07%     66.29MiB / 1GiB     6.47%     174MB / 197MB     272MB / 592MB     31
73bf2fc7d910   spark-worker-4   0.12%     199.1MiB / 1GiB     19.45%    160MB / 177MB     13.8MB / 25.1MB   32
f841a1fea1b2   spark-worker-2   0.13%     190.4MiB / 1GiB     18.59%    153MB / 168MB     10.5MB / 12.8MB   31
4e5b5483ed2f   spark-worker-3   0.08%     233.9MiB / 1GiB     22.85%    170MB / 153MB     56.7MB / 27.6MB   32
4896f71aef73   spark-worker-5   0.08%     199.8MiB / 1GiB     19.51%    200MB / 171MB     19MB / 14.4MB     32
f34e9addb485   spark-worker-1   0.07%     90.46MiB / 1GiB     8.83%     197MB / 187MB     111MB / 289MB     32
a5264a101823   spark-master     0.10%     172.9MiB / 1GiB     16.89%    450kB / 85.3kB    1.76MB / 647kB    28
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
1ceec149a78c   spark-driver     91.29%    323.2MiB / 1GiB     31.57%    1.66MB / 4.26MB   57.4MB / 1.69MB   61
00e68c3d4611   spark-worker-6   7.84%     77.68MiB / 1GiB     7.59%     174MB / 197MB     284MB / 592MB     32
73bf2fc7d910   spark-worker-4   32.10%    230.9MiB / 1GiB     22.55%    160MB / 177MB     13.8MB / 25.1MB   48
f841a1fea1b2   spark-worker-2   33.46%    223.5MiB / 1GiB     21.83%    153MB / 168MB     10.5MB / 12.8MB   47
4e5b5483ed2f   spark-worker-3   27.72%    259.2MiB / 1GiB     25.31%    170MB / 153MB     56.7MB / 27.6MB   48
4896f71aef73   spark-worker-5   27.13%    228.8MiB / 1GiB     22.35%    200MB / 171MB     19MB / 14.4MB     48
f34e9addb485   spark-worker-1   8.00%     101.2MiB / 1GiB     9.89%     197MB / 187MB     122MB / 289MB     33
a5264a101823   spark-master     3.74%     173MiB / 1GiB       16.90%    464kB / 114kB     1.76MB / 647kB    28
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
1ceec149a78c   spark-driver     91.29%    323.2MiB / 1GiB     31.57%    1.66MB / 4.26MB   57.4MB / 1.69MB   61
00e68c3d4611   spark-worker-6   7.84%     77.68MiB / 1GiB     7.59%     174MB / 197MB     284MB / 592MB     32
73bf2fc7d910   spark-worker-4   32.10%    230.9MiB / 1GiB     22.55%    160MB / 177MB     13.8MB / 25.1MB   48
f841a1fea1b2   spark-worker-2   33.46%    223.5MiB / 1GiB     21.83%    153MB / 168MB     10.5MB / 12.8MB   47
4e5b5483ed2f   spark-worker-3   27.72%    259.2MiB / 1GiB     25.31%    170MB / 153MB     56.7MB / 27.6MB   48
4896f71aef73   spark-worker-5   27.13%    228.8MiB / 1GiB     22.35%    200MB / 171MB     19MB / 14.4MB     48
f34e9addb485   spark-worker-1   8.00%     101.2MiB / 1GiB     9.89%     197MB / 187MB     122MB / 289MB     33
a5264a101823   spark-master     3.74%     173MiB / 1GiB       16.90%    464kB / 114kB     1.76MB / 647kB    28
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
1ceec149a78c   spark-driver     50.14%    343.7MiB / 1GiB     33.57%    1.66MB / 4.26MB   62MB / 1.69MB     64
00e68c3d4611   spark-worker-6   59.92%    151.6MiB / 1GiB     14.81%    174MB / 197MB     285MB / 592MB     47
73bf2fc7d910   spark-worker-4   82.91%    286.1MiB / 1GiB     27.94%    160MB / 177MB     13.9MB / 25.1MB   48
f841a1fea1b2   spark-worker-2   87.66%    280.6MiB / 1GiB     27.40%    153MB / 168MB     10.5MB / 12.8MB   47
4e5b5483ed2f   spark-worker-3   74.74%    317.9MiB / 1GiB     31.04%    170MB / 153MB     56.7MB / 27.6MB   48
4896f71aef73   spark-worker-5   69.95%    282.6MiB / 1GiB     27.60%    200MB / 171MB     19MB / 14.4MB     48
