[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O          BLOCK I/O         PIDS
06ab4a4b1c01   spark-driver     0.00%     206MiB / 1GiB       20.11%    726B / 0B        1.93MB / 32.8kB   15
11964334ba78   spark-worker-3   0.04%     181.3MiB / 1GiB     17.71%    111MB / 133MB    3.74MB / 37.3MB   32
0f3921b142f1   spark-worker-1   0.04%     189.5MiB / 1GiB     18.51%    104MB / 119MB    168kB / 12.8MB    32
32b8509ddfd9   spark-worker-6   0.04%     184.7MiB / 1GiB     18.04%    119MB / 147MB    1.27MB / 33.1MB   31
dfa8d3d7f2a8   spark-worker-2   0.04%     104.3MiB / 1GiB     10.18%    150MB / 101MB    46.4MB / 167MB    32
67845b7d52e2   spark-worker-4   0.04%     183.7MiB / 1GiB     17.94%    149MB / 125MB    10.2MB / 27.2MB   32
ffd9bf1f6a5f   spark-worker-5   0.04%     184.2MiB / 1GiB     17.99%    119MB / 124MB    430kB / 7.39MB    32
6fcd49ee3b4b   spark-master     0.13%     164MiB / 1GiB       16.01%    195kB / 61.4kB   1.12MB / 258kB    28
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O          BLOCK I/O         PIDS
06ab4a4b1c01   spark-driver     0.00%     206MiB / 1GiB       20.11%    726B / 0B        1.93MB / 32.8kB   15
11964334ba78   spark-worker-3   0.04%     181.3MiB / 1GiB     17.71%    111MB / 133MB    3.74MB / 37.3MB   32
0f3921b142f1   spark-worker-1   0.04%     189.5MiB / 1GiB     18.51%    104MB / 119MB    168kB / 12.8MB    32
32b8509ddfd9   spark-worker-6   0.04%     184.7MiB / 1GiB     18.04%    119MB / 147MB    1.27MB / 33.1MB   31
dfa8d3d7f2a8   spark-worker-2   0.04%     104.3MiB / 1GiB     10.18%    150MB / 101MB    46.4MB / 167MB    32
67845b7d52e2   spark-worker-4   0.04%     183.7MiB / 1GiB     17.94%    149MB / 125MB    10.2MB / 27.2MB   32
ffd9bf1f6a5f   spark-worker-5   0.04%     184.2MiB / 1GiB     17.99%    119MB / 124MB    430kB / 7.39MB    32
6fcd49ee3b4b   spark-master     0.13%     164MiB / 1GiB       16.01%    195kB / 61.4kB   1.12MB / 258kB    28
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O          BLOCK I/O         PIDS
06ab4a4b1c01   spark-driver     95.82%    235.7MiB / 1GiB     23.01%    726B / 0B        2.11MB / 36.9kB   17
11964334ba78   spark-worker-3   0.11%     181.3MiB / 1GiB     17.71%    111MB / 133MB    3.74MB / 37.3MB   32
0f3921b142f1   spark-worker-1   0.11%     189.5MiB / 1GiB     18.51%    104MB / 119MB    168kB / 12.8MB    32
32b8509ddfd9   spark-worker-6   0.08%     184.7MiB / 1GiB     18.04%    119MB / 147MB    1.27MB / 33.1MB   31
dfa8d3d7f2a8   spark-worker-2   0.12%     104.3MiB / 1GiB     10.18%    150MB / 101MB    46.4MB / 167MB    32
67845b7d52e2   spark-worker-4   0.08%     183.7MiB / 1GiB     17.94%    149MB / 125MB    10.2MB / 27.2MB   32
ffd9bf1f6a5f   spark-worker-5   0.10%     184.2MiB / 1GiB     17.99%    119MB / 124MB    430kB / 7.39MB    32
6fcd49ee3b4b   spark-master     0.12%     164MiB / 1GiB       16.01%    195kB / 61.4kB   1.12MB / 258kB    28
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O          BLOCK I/O         PIDS
06ab4a4b1c01   spark-driver     95.82%    235.7MiB / 1GiB     23.01%    726B / 0B        2.11MB / 36.9kB   17
11964334ba78   spark-worker-3   0.11%     181.3MiB / 1GiB     17.71%    111MB / 133MB    3.74MB / 37.3MB   32
0f3921b142f1   spark-worker-1   0.11%     189.5MiB / 1GiB     18.51%    104MB / 119MB    168kB / 12.8MB    32
32b8509ddfd9   spark-worker-6   0.08%     184.7MiB / 1GiB     18.04%    119MB / 147MB    1.27MB / 33.1MB   31
dfa8d3d7f2a8   spark-worker-2   0.12%     104.3MiB / 1GiB     10.18%    150MB / 101MB    46.4MB / 167MB    32
67845b7d52e2   spark-worker-4   0.08%     183.7MiB / 1GiB     17.94%    149MB / 125MB    10.2MB / 27.2MB   32
